,precision,recall,f1-score,support
Agreement Date,0.0,0.0,0.0,64.0
Document Name,0.975609756097561,0.975609756097561,0.975609756097561,41.0
Effective Date,0.0,0.0,0.0,49.0
Expiration Date,0.24516129032258063,1.0,0.39378238341968913,38.0
Governing Law,0.7,0.6363636363636364,0.6666666666666666,11.0
Parties,1.0,0.96,0.9795918367346939,75.0
Renewal Term,1.0,1.0,1.0,7.0
accuracy,0.5754385964912281,0.5754385964912281,0.5754385964912281,0.5754385964912281
macro avg,0.5601101494885917,0.6531390560658854,0.5736643775598015,285.0
weighted avg,0.4877758913412563,0.5754385964912281,0.5009349180995913,285.0
